name,link,theme,mode,date
Code Kshetra 2.0,https://code-kshetra-2.devfolio.co/,No Restrictions,Offline,Starts 21/02/25
DotSlash 8.0,https://hackdotslash-8.devfolio.co/,No Restrictions,Offline,Starts 01/02/25
Err_404  6.0,https://err-11.devfolio.co/,No Restrictions,Offline,Starts 18/01/25
DUHacks 4.0,https://duhacks4.devfolio.co/,No Restrictions,Online,Starts 22/02/25
Innerve 9.0,https://innerve-nine.devfolio.co/,No Restrictions,Offline,Starts 07/02/25
Formidium DevFest 4.0 Goa,https://formidium-devfest-goa.devfolio.co/,Blockchain,Online,Starts 17/01/25
HackSnippet 3.0,https://hacksnippet-3.devfolio.co/,No Restrictions,Offline,Starts 08/02/25
HackTU 6.0,https://hacktu-6.devfolio.co/,No Restrictions,Offline,Starts 08/02/25
TSEC HACKS 2025,https://tsec-hacks-2025.devfolio.co/,No Restrictions,Offline,Starts 29/01/25
Datathon-2025,https://datazen-2025.devfolio.co/,AI/ML,Offline,Starts 01/02/25
We-Hack,https://wehack25.devfolio.co/,No Restrictions,Offline,Starts 27/02/25
HackSRM 6.0,https://hack-srm25.devfolio.co/,No Restrictions,Offline,Starts 05/02/25
Electrothon 7.0,https://electrothon-7.devfolio.co/,No Restrictions,Offline,Starts 07/03/25
ZK Online Hackathon for Web3 Builders,https://zk-online-hackathon-for-web3-builders.devfolio.co/,Blockchain,Online,Starts 27/01/25
HackHound 3.O,https://hackhound2k25.devfolio.co/,No Restrictions,Offline,Starts 27/02/25
Hack-Nocturne,https://hack-nocturne.devfolio.co/,No Restrictions,Offline,Starts 21/02/25
RNS Hack_Overflow 2.0,https://rns-hackoverflow-2.devfolio.co/,No Restrictions,Offline,Starts 21/02/25
Hack This Fall 2025,https://hackthisfall.devfolio.co/,No Restrictions,Offline,Starts 21/03/25
DevsHouse '25,https://devshouse25.devfolio.co/,No Restrictions,Offline,Starts 04/04/25
ETHDenver 2025,https://ethdenver2025.devfolio.co/,Blockchain,Offline,Starts 23/02/25
What it takes to be a Data Scientist at Microsoft?,https://www.hackerearth.com/challenges/hackathon/what-it-takes-to-be-a-data-scientist-at-microsoft/,,Online,"Jan 02, 2025, 01:30 PM UTC (UTC) to Jan 11, 2025, 10:30 AM UTC (UTC)"
Data Science using Python,https://www.hackerearth.com/challenges/hackathon/data-science-using-python/,,Online,"Jan 02, 2025, 01:30 PM UTC (UTC) to Jan 15, 2025, 01:00 PM UTC (UTC)"
Indegene Hackathon,https://www.hackerearth.com/challenges/hackathon/indegene-hackathon/,,Online,"Feb 07, 2025, 04:30 AM UTC (UTC) to Feb 07, 2025, 11:30 AM UTC (UTC)"
Analog Kairos Hackathon - 2,https://analog-part2.hackerearth.com/,,Online,"Nov 05, 2024, 02:00 PM UTC (UTC) to Jan 27, 2025, 07:59 AM UTC (UTC)"
Hack2skill Tech Camp: Building Interactive chatbot with React Js & GPT API,https://vision.hack2skill.com/event/h2stc-building-chatbot-react?utm_source=h2shomepage&utm_medium=h2shomepage,"Experience comprehensive learning, focusing on the essential concepts of React Js, effective API integration with the GPT API",Online,Wed Jan 15 2025
Integration for AI/GenAI Hackathon 2025,https://vision.hack2skill.com/event/informatica2025/?utm_source=h2shomepage&utm_medium=h2shomepage,Push the boundaries of data-driven AI solutions by using Informatica's data and application integration solutions.,Online,Sun Feb 02 2025
GDG on Campus Solutions Challenge,https://vision.hack2skill.com/event/solutionschallenge2025?utm_source=hack2skill&utm_medium=homepage,Join the GDG on Campus Solutions Challenge India and use Google developer technologies tools to tackle real-world problems.,Offline,Thu Mar 06 2025
